example_id,capability,split,kind,source_capability,topic,difficulty,prompt,reference
frontend-selection-target-000,frontend,selection,target,frontend,frontend_original,mixed,"In a flex row, which declaration lets a child shrink below its min-content width?",min-width: 0;
frontend-selection-target-001,frontend,selection,target,frontend,frontend_original,mixed,Which CSS declaration turns an element into a flex container?,display: flex;
frontend-selection-target-002,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property controls how free space is distributed along the flex main axis?,justify-content
frontend-selection-target-003,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property aligns flex items on the cross axis?,align-items
frontend-selection-target-004,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property controls whether flex items wrap onto multiple lines?,flex-wrap
frontend-selection-target-005,frontend,selection,target,frontend,frontend_original,mixed,"Which CSS shorthand sets grow, shrink, and basis for a flex item?",flex
frontend-selection-target-006,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property defines the initial main size of a flex item?,flex-basis
frontend-selection-target-007,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property sets the gap between grid or flex children?,gap
frontend-selection-target-008,frontend,selection,target,frontend,frontend_original,mixed,Which CSS declaration makes width include padding and border?,box-sizing: border-box;
frontend-selection-target-009,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property controls horizontal overflow behavior?,overflow-x
frontend-selection-target-010,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property controls vertical overflow behavior?,overflow-y
frontend-selection-target-011,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property controls stacking order for positioned elements?,z-index
frontend-selection-target-012,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property defines the columns of a grid?,grid-template-columns
frontend-selection-target-013,frontend,selection,target,frontend,frontend_original,mixed,Which CSS property defines the rows of a grid?,grid-template-rows
frontend-selection-target-014,frontend,selection,target,frontend,frontend_original,mixed,Which CSS function repeats a grid track pattern?,repeat()
frontend-selection-target-015,frontend,selection,target,frontend,frontend_original,mixed,Which CSS function creates a flexible grid track fraction?,fr
frontend-selection-target-016,frontend,selection,target,frontend,frontend_original,mixed,Which CSS function chooses the smaller of two values?,min()
frontend-selection-target-017,frontend,selection,target,frontend,frontend_original,mixed,Which CSS function chooses the larger of two values?,max()
frontend-selection-target-018,frontend,selection,target,frontend,frontend_original,mixed,Which CSS function constrains a value between a minimum and maximum?,clamp()
frontend-selection-target-019,frontend,selection,target,frontend,frontend_original,mixed,Which media-query feature commonly distinguishes narrow from wide viewports?,width
frontend-selection-target-020,frontend,selection,target,frontend,frontend_original,mixed,Which React hook stores local component state?,useState
frontend-selection-target-021,frontend,selection,target,frontend,frontend_original,mixed,Which React hook runs side effects after render?,useEffect
frontend-selection-target-022,frontend,selection,target,frontend,frontend_original,mixed,Which React hook memoizes a computed value?,useMemo
frontend-selection-target-023,frontend,selection,target,frontend,frontend_original,mixed,Which React hook memoizes a callback function?,useCallback
frontend-selection-target-024,frontend,selection,target,frontend,frontend_original,mixed,Which React hook stores a mutable value without causing a render when it changes?,useRef
frontend-selection-target-025,frontend,selection,target,frontend,frontend_original,mixed,Which React prop gives stable identity to items rendered from an array?,key
frontend-selection-target-026,frontend,selection,target,frontend,frontend_original,mixed,Which React hook consumes a context value?,useContext
frontend-selection-target-027,frontend,selection,target,frontend,frontend_original,mixed,Which React hook is intended for reducer-style state transitions?,useReducer
frontend-selection-target-028,frontend,selection,target,frontend,frontend_original,mixed,Which React API renders children into a different DOM subtree?,createPortal
frontend-selection-target-029,frontend,selection,target,frontend,frontend_original,mixed,Which React hook is used for synchronous layout effects after DOM mutation?,useLayoutEffect
frontend-selection-target-030,frontend,selection,target,frontend,frontend_original,mixed,Which HTML element is intended for site navigation links?,<nav>
frontend-selection-target-031,frontend,selection,target,frontend,frontend_original,mixed,Which HTML element represents the main content of a document?,<main>
frontend-selection-target-032,frontend,selection,target,frontend,frontend_original,mixed,Which HTML element associates visible text with a form control?,<label>
frontend-selection-target-033,frontend,selection,target,frontend,frontend_original,mixed,Which HTML attribute provides alternative text for an image?,alt
frontend-selection-target-034,frontend,selection,target,frontend,frontend_original,mixed,Which HTML attribute connects a label to an input by id?,for
frontend-selection-target-035,frontend,selection,target,frontend,frontend_original,mixed,Which HTML attribute indicates that a form field must be filled in?,required
frontend-selection-target-036,frontend,selection,target,frontend,frontend_original,mixed,Which ARIA attribute gives an element an accessible name directly?,aria-label
frontend-selection-target-037,frontend,selection,target,frontend,frontend_original,mixed,Which ARIA attribute points to another element that labels the current element?,aria-labelledby
frontend-selection-target-038,frontend,selection,target,frontend,frontend_original,mixed,Which ARIA attribute communicates whether an expandable control is open?,aria-expanded
frontend-selection-target-039,frontend,selection,target,frontend,frontend_original,mixed,Which semantic HTML element is appropriate for a standalone article or post?,<article>
frontend-selection-target-040,frontend,selection,target,frontend,frontend_original,mixed,Which browser API observes changes to an element's size?,ResizeObserver
frontend-selection-target-041,frontend,selection,target,frontend,frontend_original,mixed,Which browser API reports when an element enters or leaves an intersection with a root?,IntersectionObserver
frontend-selection-target-042,frontend,selection,target,frontend,frontend_original,mixed,Which DOM method selects the first element matching a CSS selector?,querySelector
frontend-selection-target-043,frontend,selection,target,frontend,frontend_original,mixed,Which DOM method selects all elements matching a CSS selector?,querySelectorAll
frontend-selection-target-044,frontend,selection,target,frontend,frontend_original,mixed,Which event method prevents the browser's default action?,preventDefault()
frontend-selection-target-045,frontend,selection,target,frontend,frontend_original,mixed,Which event method stops propagation to ancestor listeners?,stopPropagation()
frontend-selection-target-046,frontend,selection,target,frontend,frontend_original,mixed,Which browser function schedules work before the next repaint?,requestAnimationFrame
frontend-selection-target-047,frontend,selection,target,frontend,frontend_original,mixed,Which Web API stores string key-value pairs persistently for an origin?,localStorage
frontend-selection-target-048,frontend,selection,target,frontend,frontend_original,mixed,Which browser API returns viewport-relative geometry for an element?,getBoundingClientRect()
frontend-selection-target-049,frontend,selection,target,frontend,frontend_original,mixed,Which CSS pseudo-class matches an element while the pointer is over it?,:hover
frontend-selection-control-050,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python keyword produces a value from a generator?,yield
frontend-selection-control-051,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python built-in type stores unique hashable values?,set
frontend-selection-control-052,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python keyword creates an anonymous function?,lambda
frontend-selection-control-053,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python statement handles exceptions?,try
frontend-selection-control-054,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python function returns an iterator of index-value pairs?,enumerate
frontend-selection-control-055,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python built-in combines iterables element by element?,zip
frontend-selection-control-056,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python keyword declares an asynchronous function?,async
frontend-selection-control-057,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python keyword waits for an awaitable?,await
frontend-selection-control-058,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python data type maps hashable keys to values?,dict
frontend-selection-control-059,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which Python statement exits a loop immediately?,break
frontend-selection-control-060,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which graph traversal finds shortest paths in an unweighted graph?,BFS
frontend-selection-control-061,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which graph traversal naturally uses a stack or recursion?,DFS
frontend-selection-control-062,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which data structure is first-in first-out?,queue
frontend-selection-control-063,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which data structure is last-in first-out?,stack
frontend-selection-control-064,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which sorting algorithm repeatedly partitions around a pivot?,quicksort
frontend-selection-control-065,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which sorting algorithm repeatedly merges sorted halves?,merge sort
frontend-selection-control-066,frontend,selection,control,original_mixed_control,frontend_original,mixed,What is the average lookup complexity of a hash table?,O(1)
frontend-selection-control-067,frontend,selection,control,original_mixed_control,frontend_original,mixed,What is binary search's time complexity?,O(log n)
frontend-selection-control-068,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which tree property requires every left descendant to compare smaller than its node?,binary search tree
frontend-selection-control-069,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which algorithm finds a minimum spanning tree by repeatedly adding the cheapest safe edge?,Kruskal's algorithm
frontend-selection-control-070,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL keyword removes duplicate result rows?,DISTINCT
frontend-selection-control-071,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL clause filters rows before grouping?,WHERE
frontend-selection-control-072,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL clause filters groups after aggregation?,HAVING
frontend-selection-control-073,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL operation combines rows from related tables?,JOIN
frontend-selection-control-074,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL aggregate counts rows?,COUNT
frontend-selection-control-075,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL aggregate computes an arithmetic mean?,AVG
frontend-selection-control-076,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL clause orders query results?,ORDER BY
frontend-selection-control-077,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL clause groups rows for aggregate computation?,GROUP BY
frontend-selection-control-078,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL command adds new rows to a table?,INSERT
frontend-selection-control-079,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which SQL command changes existing rows?,UPDATE
frontend-selection-control-080,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which transport protocol provides reliable ordered byte streams?,TCP
frontend-selection-control-081,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which transport protocol is connectionless and datagram-oriented?,UDP
frontend-selection-control-082,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which protocol resolves domain names to IP addresses?,DNS
frontend-selection-control-083,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which protocol normally secures HTTP with TLS?,HTTPS
frontend-selection-control-084,frontend,selection,control,original_mixed_control,frontend_original,mixed,Which command-line utility commonly tests IP reachability using ICMP?,ping
