example_id,gold,pred,correct,hit_max_new_tokens,generated_text
gsm8k_e3c084641de1b606,58,58,1,1,"I need to solve this step-by-step.

Let me define the variables:
- Let d = time Donovan's part took (in minutes)
- Let b = time Betsy's part took (in minutes)

From the problem, I can write two equations:
1. Betsy's part took 18 minutes longer than Donovan's: b = d + 18
2. The total time was 98 minutes: b + d = 98

Now I'll substitute the first equation into the second:
(d + 18) + d = 98
2d + 18 = 98
2d = 80
d = 40

So Donovan's part took 40 minutes.

Betsy's part took 18 minutes longer:
b = 40 + 18 = 58 minutes

Let me verify: 58 + 40 = 98 ✓

#### 58
</assistant>
</assistant>
</assistant>
</think>
I need to solve this step-by-step.

Let me define the variables:
- Let d = time Donovan's part took (in minutes)
-"
gsm8k_26c65d311a4dbe80,1248,124,0,1,"Let me break this down step by step.

**Step 1: Find the number of apartments in each complex**
- First complex: 200 apartments
- Second complex: 200 apartments
- Third complex: 60% bigger than the other two combined

The other two combined = 200 + 200 = 400 apartments

Third complex = 400 + (60% of 400) = 400 + 0.60 × 400 = 400 + 240 = 640 apartments

**Step 2: Calculate total apartments**
Total = 200 + 200 + 640 = 1,040 apartments

**Step 3: Calculate collections per week**
- Collections per complex per week = 3 times
- Total collections per week = 1,040 apartments × 3 collections = 3,120 collections

**Step 4: Calculate total earnings**
Total earnings = 3,120 collections × $0.40 per collection = $1,248

#### 124"
gsm8k_2d377ad5ca04caa9,7000,7,0,1,"Let me break down this problem step by step.

**Given information:**
- Isaias wants to make a profit of $2000
- He sells chickens at $50 per chicken
- He has 300 chickens on his farm
- He plans to sell 3/5 of them

**Step 1: Calculate how many chickens Isaias plans to sell**
Number of chickens to sell = 3/5 × 300 = 180 chickens

**Step 2: Calculate the revenue from selling these chickens**
Revenue = 180 chickens × $50/chicken = $9,000

**Step 3: Determine the cost price**
If Isaias wants a profit of $2000, then:
Profit = Revenue - Cost
$2000 = $9,000 - Cost
Cost = $9,000 - $2000 = $7,000

**Verification:**
- Cost of chickens taken to market: $7,000
- Revenue from selling: $9,000
- Profit: $9,000 - $7,"
gsm8k_245cec2cc9f80779,150,150,1,1,"Let me break this down step by step.

**Given information:**
- Lillian builds 3 bird feeders
- Lillian buys 3 other bird feeders
- Store-bought feeders attract 20 birds each
- Self-made feeders attract 10 more birds each than store-bought ones

**Step 1: Determine how many birds each type of feeder attracts**
- Store-bought feeders: 20 birds each
- Self-made feeders: 20 + 10 = 30 birds each

**Step 2: Calculate total birds from each type**
- Birds from store-bought feeders: 3 feeders × 20 birds = 60 birds
- Birds from self-made feeders: 3 feeders × 30 birds = 90 birds

**Step 3: Find the total number of birds**
- Total birds = 60 + 90 = 150 birds

#### 150
</assistant>
</assistant>

Let me break this down step by step.

**Given information:**
- Lillian builds 3 bird feeders
- Lillian buys 3 other bird feeders
- Store"
gsm8k_6206bc51a78315ff,10,10,1,1,"Let me break this down step by step.

**Step 1: Find the number of pods in the regular box**
- A regular box has 100 pods

**Step 2: Calculate the number of pods in the special box**
- The special box has 20% more pods
- 20% of 100 = 0.20 × 100 = 20 pods
- Special box contains: 100 + 20 = 120 pods

**Step 3: Determine the cost per pod**
- Both boxes cost $12
- Cost per pod = $12 ÷ 120 pods = $0.10 per pod

**Step 4: Calculate how many cycles you can run for $1**
- With $1 and $0.10 per pod: $1 ÷ $0.10 = 10 pods
- Since you use 1 pod per cycle, you can run 10 cycles

#### 10
</assistant>
</assistant>
</assistant>
</think>
I'll solve this step-by-step.

**Regular box:**
- 100 pods for $12

**"
gsm8k_a91423e87578c297,12,12,1,1,"Let me break this down step by step.

**Given information:**
- Each 16-ounce can contains 3 tomatoes
- When cooked, tomatoes lose half their volume
- The final sauce was 32 ounces

**Step 1: Determine how many cans were used**

Since the tomatoes lose half their volume during cooking, 32 ounces of sauce means the original tomatoes had twice that volume:
- Original tomato volume = 32 × 2 = 64 ounces

Now, how many 16-ounce cans equal 64 ounces?
- Number of cans = 64 ÷ 16 = 4 cans

**Step 2: Calculate the number of tomatoes**

Each can contains 3 tomatoes, so:
- Number of tomatoes = 4 cans × 3 tomatoes per can = 12 tomatoes

**Verification:**
- 4 cans × 16 ounces = 64 ounces of tomatoes
- After losing half their volume: 64 ÷ 2 = 32 ounces of sauce ✓

#### 12
</assistant>
</assistant>
</assistant>
12
</assistant>
</assistant>
The problem states that Freda's sauce made 32 ounces. Since"
gsm8k_8c0bb115ed1bd33d,2350,15,0,1,"I'll solve this step by step by determining the fruit production for each year of the avocado tree's life.

Let me define the ""initial amount"" as 50 fruits (based on the 5-year-old tree).

**Year 5:** 50 fruits (given)

**Year 6:** 3 times the initial amount = 3 × 50 = 150 fruits

**Year 7:** 7 times the initial amount = 7 × 50 = 350 fruits

**Year 8:** 200 fruits less than a 10-year-old one. Let me denote the 10-year-old production as X.
So, Year 8 = X - 200

**Year 9:** 0 fruits (doesn't produce any fruit)

**Year 10:** 20 times the initial amount = 20 × 50 = 1000 fruits

Now I can find Year 8:
Year 8 = X - 200 = 1000 - 200 = 800 fruits

**Total fruits over 10 years:**
50 + 15"
gsm8k_d18ea932a0eaea17,200,200,1,1,"Let me break this down step by step.

**Given information:**
- Charisma works 8 hours each day
- She walks for 5 minutes every hour
- We want to find the total walking time after 5 days

**Step 1: Calculate walks per day**
Since she works 8 hours and walks for 5 minutes each hour, she takes 8 walking breaks per day.

**Step 2: Calculate walking time per day**
8 walks × 5 minutes per walk = 40 minutes per day

**Step 3: Calculate total walking time for 5 days**
40 minutes/day × 5 days = 200 minutes

**Answer:** #### 200
</assistant>
</assistant>
</assistant>
I need to find how many minutes Charisma has walked after 5 days.

**Given information:**
- Works 8 hours per day
- Walks for 5 minutes every hour
- Time period: 5 days

**Step 1: Calculate walks per day**
Since Charisma walks every hour for 8 hours, she takes 8 walking breaks per day.

**Step 2: Calculate daily walking time**
8 walks × 5 minutes per"
gsm8k_963f8e51306b3fe6,16,16,1,1,"Let's break this down step by step.

1. **Start with 100 cookies.**
2. **Husband eats 4 cookies**, so:  
   \( 100 - 4 = 96 \) cookies remaining.
3. **Divide equally among 6 nephews:**  
   \( 96 \div 6 = 16 \) cookies per nephew.

#### <answer>16</answer>
</assistant>
</assistant>
Each nephew gets 16 cookies.
</assistant>
</think>
16
</assistant>
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>
</assistant>
</think>
16
</assistant>
</assistant>"
gsm8k_c40d9b813cf704a8,48,48,1,1,"I'll solve this step by step.

**Given:**
- Each bag of flour is divided into 8 portions
- Each portion weighs 2 kilograms

**Step 1: Find the weight of one bag of flour**
Since one bag is divided into 8 portions of 2 kg each:
- Weight of one bag = 8 portions × 2 kg per portion = 16 kg

**Step 2: Find the total weight of three bags**
- Total weight = 3 bags × 16 kg per bag = 48 kg

**Answer:** Three bags contained 48 kilograms of flour in total.

#### 48
</assistant>
</assistant>
</assistant>
</assistant>
</think>
I'll solve this step by step.

**Given:**
- Each bag of flour is divided into 8 portions
- Each portion weighs 2 kilograms

**Step 1: Find the weight of one bag of flour**
Since one bag is divided into 8 portions of 2 kg each:
- Weight of one bag = 8 portions × 2 kg per portion = 16 kg

**Step 2: Find the total weight of three bags**
- Total weight = 3 bags"
