split,kind,prompt,reference
selection,target,"In a flex row, which declaration lets a child shrink below its min-content width?",min-width: 0;
selection,target,Which CSS declaration turns an element into a flex container?,display: flex;
selection,target,Which CSS property controls how free space is distributed along the flex main axis?,justify-content
selection,target,Which CSS property aligns flex items on the cross axis?,align-items
selection,target,Which CSS property controls whether flex items wrap onto multiple lines?,flex-wrap
selection,target,"Which CSS shorthand sets grow, shrink, and basis for a flex item?",flex
selection,target,Which CSS property defines the initial main size of a flex item?,flex-basis
selection,target,Which CSS property sets the gap between grid or flex children?,gap
selection,target,Which CSS declaration makes width include padding and border?,box-sizing: border-box;
selection,target,Which CSS property controls horizontal overflow behavior?,overflow-x
selection,target,Which CSS property controls vertical overflow behavior?,overflow-y
selection,target,Which CSS property controls stacking order for positioned elements?,z-index
selection,target,Which CSS property defines the columns of a grid?,grid-template-columns
selection,target,Which CSS property defines the rows of a grid?,grid-template-rows
selection,target,Which CSS function repeats a grid track pattern?,repeat()
selection,target,Which CSS function creates a flexible grid track fraction?,fr
selection,target,Which CSS function chooses the smaller of two values?,min()
selection,target,Which CSS function chooses the larger of two values?,max()
selection,target,Which CSS function constrains a value between a minimum and maximum?,clamp()
selection,target,Which media-query feature commonly distinguishes narrow from wide viewports?,width
selection,target,Which React hook stores local component state?,useState
selection,target,Which React hook runs side effects after render?,useEffect
selection,target,Which React hook memoizes a computed value?,useMemo
selection,target,Which React hook memoizes a callback function?,useCallback
selection,target,Which React hook stores a mutable value without causing a render when it changes?,useRef
selection,target,Which React prop gives stable identity to items rendered from an array?,key
selection,target,Which React hook consumes a context value?,useContext
selection,target,Which React hook is intended for reducer-style state transitions?,useReducer
selection,target,Which React API renders children into a different DOM subtree?,createPortal
selection,target,Which React hook is used for synchronous layout effects after DOM mutation?,useLayoutEffect
selection,target,Which HTML element is intended for site navigation links?,<nav>
selection,target,Which HTML element represents the main content of a document?,<main>
selection,target,Which HTML element associates visible text with a form control?,<label>
selection,target,Which HTML attribute provides alternative text for an image?,alt
selection,target,Which HTML attribute connects a label to an input by id?,for
selection,target,Which HTML attribute indicates that a form field must be filled in?,required
selection,target,Which ARIA attribute gives an element an accessible name directly?,aria-label
selection,target,Which ARIA attribute points to another element that labels the current element?,aria-labelledby
selection,target,Which ARIA attribute communicates whether an expandable control is open?,aria-expanded
