example_id,gold,pred,correct,hit_max_new_tokens,generated_text
gsm8k_3c4fc91451b6eb58,18,18,1,1,"Emma has made 18+21+15=<<18+21+15=54>>54 vlogs so far.
So she needs to make 72-54=<<72-54=18>>18 vlogs to complete the 72 vlogs per month.
#### 18
</assistant>
</assistant>
</assistant>
Emma has made 18+21+15=<<18+21+15=54>>54 vlogs so far.
So she needs to make 72-54=<<72-54=18>>18 vlogs to complete the 72 vlogs per month.
#### 18
</assistant>
Emma has made 18+21+15=<<18+21+15=54>>54 vlogs so far.
So she needs to make 72-54=<<72-54=18>>18 vlogs to complete the 72 vlogs per month.
#### 18
</assistant>
Emma has made 18+21+15=<<1"
gsm8k_86b3ca5799f36bf1,16,16,1,1,"In the first half, team B scores 4 - 2 = <<4-2=2>>2 goals.
In the second half, team B scores 4 * 2 = <<4*2=8>>8 goals.
In the second half, team A scores 1/4 * 8 = <<1/4*8=2>>2 goals.
The total number of goals scored in the match is 4 + 2 + 8 + 2 = <<4+2+8+2=16>>16 goals.
#### 16
</assistant>
</assistant>
</assistant>
</think>
16
#### 16
</assistant>
</assistant>
</assistant>
16
#### 16
</assistant>
</assistant>
16
#### 16
</assistant>
</think>
16
#### 16
</assistant>
</think>
16
#### 16
</assistant>
</think>
16
#### 16
</assistant>
</think>
16
#### 16
</assistant>
</think>
16
#### 16
</assistant>
</think>
16
#### 16
</assistant>
</think>
16
#### 16
</assistant>
</think>
16
"
gsm8k_696071905a85e126,160,160,1,1,"The restaurant has 170 - 20 = <<170-20=150>>150 normal chairs left.
The restaurant has 23 - 13 = <<23-13=10>>10 baby chairs left.
The restaurant has 150 + 10 = <<150+10=160>>160 chairs left.
#### 160
</assistant>
</assistant>
</assistant>
The restaurant has 170 - 20 = <<170-20=150>>150 normal chairs left.
The restaurant has 23 - 13 = <<23-13=10>>10 baby chairs left.
The restaurant has 150 + 10 = <<150+10=160>>160 chairs left.
#### 160
</assistant>
</think>
The restaurant has 170 - 20 = <<170-20=150>>150 normal chairs left.
The restaurant has 23 - 13 = <<23-13=10"
gsm8k_817cd01402b580a2,40,40,1,1,"On Thursday, the mechanic earned 6*60+4*40=360+160=520 dollars.
On Friday, the mechanic earned 12*40=480 dollars.
The difference in revenue between the two days is 520-480=40 dollars.
#### 40
</assistant>
</assistant>
</assistant>
</think>
The mechanic earned $40 more on Thursday than on Friday.
#### 40
</assistant>
</assistant>
</assistant>
</think>
The mechanic earned $40 more on Thursday than on Friday.
#### 40
</assistant>
</assistant>
The mechanic earned $40 more on Thursday than on Friday.
#### 40
</assistant>
The mechanic earned $40 more on Thursday than on Friday.
#### 40
The mechanic earned $40 more on Thursday than on Friday.
#### 40
The mechanic earned $40 more on Thursday than on Friday.
#### 40
The mechanic earned $40 more on Thursday than on Friday.
#### 40
The mechanic earned $40 more on Thursday than on Friday.
#### 40
The mechanic earned $"
gsm8k_917565ed017a384e,10,11.43,0,1,"He runs 3/2 = <<3/2=1.5>>1.5 hours the second day
He runs 1.5/2 = <<1.5/2=0.75>>0.75 hours the third day
He runs 3 + 1.5 + 0.75 = <<3+1.5+0.75=5.25>>5.25 hours a week
He runs 60/5.25 = <<60/5.25=11.43>>11.43 miles an hour
#### 11.43
</assistant>
</assistant>
</assistant>
<<3/2=1.5>>1.5
<<1.5/2=0.75>>0.75
<<3+1.5+0.75=5.25>>5.25
<<60/5.25=11.43>>11.43
#### 11.43
</assistant>
</assistant>
He runs 3/2 = <<3/2=1.5>>1.5 hours the second day
He runs "
gsm8k_38f9608d0911f92a,6,6,1,1,"There are 8+10+1+5=<<8+10+1+5=24>>24 guns in total.
If they were to share their guns equally, each of them would have 24/4=<<24/4=6>>6 guns.
#### 6
</assistant>
</assistant>
</assistant>
If they were to share their guns equally, each of them would have 6 guns.
#### 6
</assistant>
</assistant>
If they were to share their guns equally, each of them would have 6 guns.
#### 6
</assistant>
If they were to share their guns equally, each of them would have 6 guns.
#### 6
</assistant>
If they were to share their guns equally, each of them would have 6 guns.
#### 6
</assistant>
If they were to share their guns equally, each of them would have 6 guns.
#### 6
</assistant>
If they were to share their guns equally, each of them would have 6 guns.
#### 6
</assistant>
If they were to share their guns equally, each of them would have 6 guns.
#### 6
</assistant>
If they were to share"
gsm8k_f4b7d94c7208bf1c,375,375,1,1,"He throws 25*5*3 = <<25*5*3=375>>375 punches.
#### 375
</assistant>
</assistant>
</assistant>
</think>
He throws 25*5*3 = <<25*5*3=375>>375 punches.
#### 375
</assistant>
</assistant>
He throws 25*5*3 = <<25*5*3=375>>375 punches.
#### 375
</assistant>
He throws 25*5*3 = <<25*5*3=375>>375 punches.
#### 375
</assistant>
He throws 25*5*3 = <<25*5*3=375>>375 punches.
#### 375
He throws 25*5*3 = <<25*5*3=375>>375 punches.
#### 375
He throws 25*5*3 = <<25*5*3=375>>375 punches.
####"
gsm8k_a7d78e5a73eb736f,138,139,0,1,"The price of carrots after the first year is $120 + 5% of $120 = $120 + $6 = $<<120+6=126>>126
The price of carrots after the second year is $126 + 5% of $126 = $126 + $6.3 = $<<126+6.3=132.3>>132.3
The price of carrots after the third year is $132.3 + 5% of $132.3 = $132.3 + $6.615 = $<<132.3+6.615=138.915>>139
#### 139
</assistant>
</assistant>
</assistant>
<<120*1.05*1.05*1.05=138.915>>138.915
#### 139
</assistant>
</assistant>
<<120*1.05*1.05*1.05=138.915>>138."
gsm8k_19d404c12fb104bd,-10,-10,1,1,"The sum of the highest temperatures is -48 + 21 + -3 = -30 degrees Fahrenheit.
The average highest temperature is -30 / 3 = -10 degrees Fahrenheit.
#### -10
</assistant>
</assistant>
</assistant>
-30/3 = -10
#### -10
</assistant>
</think>
The sum of the highest temperatures is -48 + 21 + -3 = -30 degrees Fahrenheit.
The average highest temperature is -30 / 3 = -10 degrees Fahrenheit.
#### -10
</assistant>
</think>
The sum of the highest temperatures is -48 + 21 + -3 = -30 degrees Fahrenheit.
The average highest temperature is -30 / 3 = -10 degrees Fahrenheit.
#### -10
</assistant>
</think>
The sum of the highest temperatures is -48 + 21 + -3 = -30 degrees Fahrenheit.
The average highest temperature is -30 / 3 = -10 degrees Fahrenheit.
#### -10
</assistant>
-30/3 = -10
#### -10
</assistant>
-30/3 = -1"
gsm8k_811e4270a3af3a9c,63,63,1,1,"She needs 2*3=<<2*3=6>>6 skeins of wool for the hats.
She needs 4*3=<<4*3=12>>12 skeins of wool for the scarves.
She needs 12*3=<<12*3=36>>36 skeins of wool for the sweaters.
She needs 1*3=<<1*3=3>>3 skeins of wool for the mittens.
She needs 2*3=<<2*3=6>>6 skeins of wool for the socks.
In total, she needs 6+12+36+3+6=<<6+12+36+3+6=63>>63 skeins of wool.
#### 63
</assistant>
</assistant>
</assistant>
63
#### 63
</assistant>
</assistant>
63
#### 63
</assistant>
</assistant>
63
#### 63
</assistant>
</assistant>
63
#### 63
</assistant>
</assistant>
63
#### 63
</assistant>
</assistant>
63
#### 63
</assistant>
</assistant>
6"
