example_id,gold,pred,correct,hit_max_new_tokens,generated_text
gsm8k_3c4fc91451b6eb58,18,18,1,1,"Emma made 18 + 21 + 15 = <<18+21+15=54>>54 vlogs in the first three weeks.
She should make 72 - 54 = <<72-54=18>>18 vlogs to complete the 72 vlogs per month.
#### 18
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
She should make 18 vlogs to complete the 72 vlogs per month.
</assistant>
</assistant>
</assistant>
She should make 18 vlogs to complete the 72 vlogs per month.
</assistant>
</assistant>
</assistant>
She should make 18 vlogs to complete the 72 vlogs per month.
</assistant>
</assistant>
She should make 18 vlogs to complete the 72 vlogs per month.
</assistant>
</assistant>
She should make 18 vlogs to complete the 72 vlogs per month.
</assistant>
</assistant>
She should make 18 vlogs to complete the 72 vlogs per month.
</assistant>
She should make 18 vlogs to complete the 72 vlogs"
gsm8k_86b3ca5799f36bf1,16,16,1,1,"Team B scores 4-2=<<4-2=2>>2 goals in the first half.
In the second half, team B scores 4*2=<<4*2=8>>8 goals.
In the second half, team A scores 8/4=<<8/4=2>>2 goals.
The total number of goals scored in the match is 4+2+8+2=<<4+2+8+2=16>>16 goals.
#### 16
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</think>
In the first half, team B scores 4-2=<<4-2=2>>2 goals.
In the second half, team B scores 4*2=<<4*2=8>>8 goals.
In the second half, team A scores 8/4=<<8/4=2>>2 goals.
The total number of goals scored in the match is 4+2+8+2=<<4+2+8+2=16>>16 goals.
#### 16
</assistant>
</think>
In the first half, team B scores 4-"
gsm8k_696071905a85e126,160,160,1,1,"The restaurant has 170 - 20 = <<170-20=150>>150 normal chairs left.
The restaurant has 23 - 13 = <<23-13=10>>10 baby chairs left.
The restaurant has 150 + 10 = <<150+10=160>>160 chairs left.
#### 160
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</think>
The restaurant has 170 - 20 = <<170-20=150>>150 normal chairs left.
The restaurant has 23 - 13 = <<23-13=10>>10 baby chairs left.
The restaurant has 150 + 10 = <<150+10=160>>160 chairs left.
#### 160
</assistant>
</assistant>
</assistant>
</assistant>
The restaurant has 170 - 20 = <<170-20=150>>150 normal chairs left.
The restaurant has 23 - 13"
gsm8k_817cd01402b580a2,40,80,0,1,"On Thursday, the mechanic earned 6*$60 + 4*$40 = $<<6*60+4*40=560>>560
On Friday, the mechanic earned 12*$40 = $<<12*40=480>>480
The mechanic earned $560 - $480 = $<<560-480=80>>80 more on Thursday
#### 80
</assistant>
</assistant>
</assistant>
</assistant>
</think>
The mechanic earned $80 more on Thursday than on Friday.
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</think>
The mechanic earned $80 more on Thursday than on Friday.
</assistant>
</think>
The mechanic earned $80 more on Thursday than on Friday.
</assistant>
</think>
The mechanic earned $80 more on Thursday than on Friday.
</assistant>
</think>
The mechanic earned $80 more on Thursday than on Friday.
</assistant>
</think>
The mechanic earned $80 more on Thursday than on Friday.
</assistant>
</think>
The mechanic earned $80 more on Thursday than on Friday.
</assistant>
</think>
The mechanic earned $8"
gsm8k_917565ed017a384e,10,10,1,1,"He runs 3 + 1.5 + 1.5 = <<3+1.5+1.5=6>>6 hours a week
He runs 60 miles a week / 6 hours a week = <<60/6=10>>10 miles an hour
#### 10
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</think>
He runs 60 miles a week / 6 hours a week = <<60/6=10>>10 miles an hour
#### 10
</assistant>
</think>
He runs 60 miles a week / 6 hours a week = <<60/6=10>>10 miles an hour
#### 10
</assistant>
</think>
He runs 60 miles a week / 6 hours a week = <<60/6=10>>10 miles an hour
#### 10
</assistant>
</think>
He runs 60 miles a week / 6 hours a week = <<60/6=10>>10 miles an hour
#### 10
</assistant>
</think>
He runs 60 miles a week / 6 hours a week = <<60/6"
gsm8k_38f9608d0911f92a,6,6,1,1,"There are 8+10+1+5=<<8+10+1+5=24>>24 guns in total.
If they were to share their guns equally, each would have 24/4=<<24/4=6>>6 guns.
#### 6
</assistant>
</assistant>
</assistant>
</assistant>
<<8+10+1+5=24>>
<<24/4=6>>
<<6>>
</assistant>
<<8+10+1+5=24>>
<<24/4=6>>
<<6>>
</assistant>
<<8+10+1+5=24>>
<<24/4=6>>
<<6>>
<<8+10+1+5=24>>
<<24/4=6>>
<<6>>
<<8+10+1+5=24>>
<<24/4=6>>
<<6>>
<<8+10+1+5=24>>
<<24/4=6>>
<<6>>
<<8+10+1+5=24>>
<<2"
gsm8k_f4b7d94c7208bf1c,375,375,1,1,"A fight lasts 5 rounds of 3 minutes = <<5*3=15>>15 minutes
Joe throws 25 punches per minute * 15 minutes = <<25*15=375>>375 punches
#### 375
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
Joe throws 25 punches per minute * 15 minutes = <<25*15=375>>375 punches
#### 375
</assistant>
</think>
Joe throws 25 punches per minute * 15 minutes = <<25*15=375>>375 punches
#### 375
</assistant>
</assistant>
Joe throws 25 punches per minute * 15 minutes = <<25*15=375>>375 punches
#### 375
</assistant>
</assistant>
Joe throws 25 punches per minute * 15 minutes = <<25*15=375>>375 punches
#### 375
</assistant>
Joe throws 25 punches per minute * 15"
gsm8k_a7d78e5a73eb736f,138,139,0,1,"The price of carrots after one year would be $120 + $120 * 0.05 = $<<120+120*.05=126>>126
The price of carrots after two years would be $126 + $126 * 0.05 = $<<126+126*.05=132>>132
The price of carrots after three years would be $132 + $132 * 0.05 = $<<132+132*.05=139>>139
#### 139
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</think>
The price of carrots after one year would be $120 + $120 * 0.05 = $126
The price of carrots after two years would be $126 + $126 * 0.05 = $132
The price of carrots after three years would be $132 + $132 * 0.05 = $139
#### 139
</assistant>
</assistant>"
gsm8k_19d404c12fb104bd,-10,-10,1,1,"Add the highest temperatures: -48 + 21 + -3 = <<-48+21+-3=-30>>-30
Divide by the number of countries: -30 / 3 = <<-30/3=-10>>-10
#### -10
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</think>
The average highest temperature of the 3 countries is -10 degrees Fahrenheit.
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
The average highest temperature of the 3 countries is -10 degrees Fahrenheit.
</assistant>
</assistant>
</assistant>
</assistant>
The average highest temperature of the 3 countries is -10 degrees Fahrenheit.
</assistant>
</assistant>
The average highest temperature of the 3 countries is -10 degrees Fahrenheit.
</assistant>
The average highest temperature of the 3 countries is -10 degrees Fahrenheit.
The average highest temperature of the 3 countries is -10 degrees Fahrenheit.
The average highest temperature of the 3 countries is -10 degrees Fahrenheit.
The average highest temperature of the 3 countries is -10"
gsm8k_811e4270a3af3a9c,63,63,1,1,"She needs 2*3=<<2*3=6>>6 skeins of wool for the hats.
She needs 4*3=<<4*3=12>>12 skeins of wool for the scarves.
She needs 12*3=<<12*3=36>>36 skeins of wool for the sweaters.
She needs 1*3=<<1*3=3>>3 skeins of wool for the mittens.
She needs 2*3=<<2*3=6>>6 skeins of wool for the socks.
She needs 6+12+36+3+6=<<6+12+36+3+6=63>>63 skeins of wool.
#### 63
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
</assistant>
She needs 6+12+36+3+6=<<6+12+36+3+6=63>>63 skeins of wool.
#### 63
</assistant>
</assistant>
She needs 6+12+36+3+6=<<6+12"
gsm8k_7c1ba632402e9dd4,30,30,1,1,"The total cost of the tickets is $10 + $12 = $<<10+12=22>>22.
Brittany's mom gave the cashier $22 + $8 = $<<22+8=30>>30.
#### 30
</assistant>
</assistant>
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</think>
Brittany's mom gave the cashier $30.
</assistant>
</assistant>
</think>"
